COMPANY_ID,COMPANY_NAME,COMPANY_MANAGER,COMPANY_EMAIL,COMPANY_PHONE,COMPANY_ADDRESS,COMPANY_POSTCODE,COMPANY_CITY,COMPANY_COUNTRY,COMPANY_TIN,COMPANY_IBAN
1,Pixonyx,1,rshitliff0@creativecommons.org,4422424548,07045 Fordem Lane,3,1,FR89 8196 3491 72WV EAVN YCSC L79
2,Bluezoom,2,mhugh1@imgur.com,1376533383,892 Mayer Way,426,2,BE26 2245 6151 6479
3,Meejo,3,jlerwell2@google.ru,8988531442,25554 Lakewood Court,8082,3,CZ04 4510 1033 7256 7313 7576
4,Photobug,4,tfranciottoi3@constantcontact.com,0341115320,5 Ryan Avenue,1,4,NO17 1598 8009 796
5,Gabtune,5,kabdee4@vk.com,2577878818,32 Warrior Plaza,111,5,SA13 209X JTMT PK8S LRLH UNGI
6,Quinu,6,jmolesworth5@admin.ch,0874755050,17 Farragut Lane,08829,6,IE84 NXTN 2065 0588 4959 84
7,Kazu,7,ccaller6@mtv.com,3178590595,1435 Hagan Center,1230,7,ME64 2943 2225 0316 2487 87
8,Dynabox,8,botley7@slashdot.org,3838160924,35576 Shasta Junction,2534,8,PL96 6401 4862 0242 9917 3258 9290
9,Cogidoo,9,tballham8@alexa.com,0335938671,14 Arizona Circle,3057,9,FR93 0312 9518 804U AG1X C0PW H54
10,Innotype,10,ahudleston9@phoca.cz,6095593204,8 Nevada Pass,47,10,SM31 K542 4758 680L GZQS BB85 C4T
